# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
2260000        436448.27      118.66         139.27         127.33         119.29         122.58         110.50         123.70         
2270000        436869.74      118.45         135.98         130.75         121.11         119.85         120.97         125.16         
2280000        439245.64      132.42         137.66         122.37         121.18         115.80         115.94         128.09         
2290000        440666.53      130.27         135.92         119.29         118.67         119.29         120.62         128.59         
2300000        416544.31      114.40         137.59         122.23         118.53         119.30         117.41         116.08         
2310000        211048.78      121.94         128.16         120.62         114.06         118.45         118.60         125.02         
2320000        208128.29      116.28         134.87         119.78         118.18         119.71         117.90         111.61         
2330000        445584.80      115.31         119.15         129.77         124.46         123.76         119.29         116.50         
2340000        447900.39      114.82         119.02         113.49         121.53         121.53         116.78         111.82         
2350000        347157.03      119.15         115.10         116.72         125.58         123.20         125.93         109.16         
2360000        211008.35      113.50         125.09         113.50         124.67         124.54         125.93         110.42         
2370000        455714.77      116.15         116.99         111.96         137.38         118.10         122.16         122.16         
2380000        422910.73      111.54         116.43         114.69         132.42         122.58         122.58         116.29         
2390000        373677.36      114.82         115.94         112.38         131.59         130.40         122.57         115.94         
2400000        473197.95      112.03         118.53         111.19         119.15         122.58         117.62         128.59         
2410000        452104.64      112.52         117.62         123.06         138.92         129.21         116.36         124.67         
2420000        271129.60      115.94         134.73         116.15         119.51         115.59         119.86         120.28         
2430000        316428.80      119.58         132.92         113.15         115.25         135.08         123.14         116.99         
2440000        396671.62      129.14         130.32         113.36         116.50         125.23         123.90         120.76         
2450000        472694.79      120.97         131.59         114.55         144.58         124.81         124.88         121.04         
2460000        422987.57      121.74         130.26         116.36         123.14         118.60         122.36         121.04         
2470000        468214.51      122.23         134.52         114.55         112.31         128.86         130.54         117.76         
2480000        244620.73      124.18         133.61         116.92         111.75         120.48         126.00         137.03         
2490000        294242.92      117.20         132.15         130.61         129.01         127.95         117.83         130.89         
2500000        264869.44      125.09         126.91         132.29         113.08         193.88         118.18         126.70         
2510000        469309.55      122.02         132.00         118.45         118.80         140.45         121.31         118.24         
2520000        473216.02      129.64         141.02         123.14         115.17         131.03         132.07         125.30         
2530000        492350.99      123.35         130.96         130.05         121.04         133.26         117.55         119.02         
2540000        487566.74      116.50         132.08         122.09         124.46         131.23         116.71         118.66         
2550000        486597.03      125.23         132.43         122.99         115.04         147.65         117.27         123.55         
2560000        490329.37      119.01         132.70         121.95         122.23         126.84         121.80         127.33         
2570000        492856.40      123.21         132.42         118.88         124.32         131.17         117.33         117.62         
2580000        322757.21      123.41         131.45         133.27         114.26         116.01         123.28         119.43         
2590000        352440.26      123.06         128.93         122.64         114.33         124.33         120.48         119.22         
2600000        412862.12      121.25         146.60         117.48         114.20         117.20         122.44         133.75         
2610000        507814.07      124.19         134.38         117.27         115.60         118.52         126.42         127.54         
2620000        509902.85      121.53         134.66         125.79         121.53         117.48         122.79         125.02         
2630000        511751.38      118.67         126.70         118.74         124.54         117.76         120.62         118.74         
2640000        512939.86      132.21         130.75         118.60         117.90         118.18         128.45         134.24         
2650000        518548.76      120.69         126.35         124.46         116.22         120.97         119.71         119.43         
2660000        517895.67      120.62         124.81         123.83         123.06         118.60         116.64         120.62         
2670000        520245.34      122.58         135.92         120.06         116.99         126.28         116.78         119.43         
2680000        524106.55      124.04         139.83         126.14         124.68         125.44         117.41         123.97         
2690000        526014.93      125.51         134.24         115.10         126.42         119.93         123.13         122.16         
2700000        520259.53      122.79         131.94         135.85         129.91         118.87         130.82         117.48         
